VKEY;REAL;PZN;UER;RGN;IND;TNP;NNP;ADR;RKC;NAMEP;NAMEN;NEWNUM;NEWKS;PERMFO;SROK;AT1;AT2;TELEF;REGN;OKPO;DT_IZM;CKS;KSNP;DATE_IN;DATE_CH;VKEYDEL;DT_IZMR
;;30;4;45;109544;1;МОСКВА;ул. Малая Андроньевская, д.20/;044525000;"ФИЛИАЛ АО ""ГЕНБАНК"" В Г. МОСКВЕ";"ФИЛИАЛ АО ""ГЕНБАНК"" В Г. МОСКВ";044525656;;;00;;;;2490/4;;30.06.2018;;30101810845250000656;;;;
;;40;0;01;658076;2;СИБИРСКИЙ;;;ПУ БАНКА РОССИИ ШОЛОХОВСКОЕ;ПУ БАНКА РОССИИ ШОЛОХОВСКОЕ;040181002;;;00;;;;;;30.06.2018;;;;;;
;;10;0;03;352900;1;АРМАВИР;ул Ленина, 74;;РКЦ АРМАВИР;РКЦ АРМАВИР;040306000;;;00;;;;;;30.06.2018;;;;;;
;;30;4;65;620026;1;ЕКАТЕРИНБУРГ;ул Куйбышева, 58;046577001;"ФИЛИАЛ ""ДЕЛО"" ПАО ""СКБ-БАНК""";"ФИЛИАЛ ""ДЕЛО"" ПАО ""СКБ-БАНК""";046577743;;;00;;;;705/45;;30.06.2018;;30101810965770000743;;;;
;;30;4;60;347371;1;ВОЛГОДОНСК;бул. Великой Победы, дом №38а;046015001;"ВОЛГОДОНСКИЙ Ф БАНКА ""ВОЗРОЖДЕНИЕ"" (ПАО)";"ВОЛГОДОНСКИЙ Ф БАНКА ""ВОЗРОЖДЕ";046015707;;;00;;;;1439/37;;21.09.2018;;30101810060150000707;;;;
;;30;4;40;191014;1;САНКТ-ПЕТЕРБУРГ;ул Парадная, 3-2 лит А;044030001;"СПБФ АО БАНК ""СНГБ""";"СПБФ АО БАНК ""СНГБ""";044030879;;;00;;;;588/9;;30.06.2018;;30101810440300000879;;;;
;;30;4;22;607060;1;ВЫКСА;пл Октябрьской Революции, 48;042202001;"ВЫКСУНСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""";"ВЫКСУНСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛ";042202812;;;00;;;;2440/3;;30.06.2018;;30101810522020000812;;;;
;;30;4;07;355040;1;СТАВРОПОЛЬ;пр-т Юности, 1 Б;040702001;"ФИЛИАЛ №4 ПАО КБ ""ЦЕНТР-ИНВЕСТ""";"ФИЛИАЛ №4 ПАО КБ ""ЦЕНТР-ИНВЕСТ";040702734;;;00;;;;2225/4;;30.06.2018;;30101810400000000734;;;;
;;20;4;25;665717;1;БРАТСК;ул. Комсомольская, д. 43;042520001;"""БРАТСКИЙ АНКБ"" АО";"""БРАТСКИЙ АНКБ"" АО";042520842;;;00;;;;1144;;03.09.2018;;30101810850042520842;;;;
;;20;4;92;423450;1;АЛЬМЕТЬЕВСК;ул Ленина, 77;049246000;"АБ ""ДЕВОН-КРЕДИТ"" (ПАО)";"АБ ""ДЕВОН-КРЕДИТ"" (ПАО)";049246691;;;00;;;;1972;;30.06.2018;;30101810722029246691;;;;
